date,open,high,low,close,volume
2016-02-18,1183763.868,1183763.868,1159163.621,1168019.71,222400
2016-02-19,1168019.71,1175891.789,1155227.582,1170971.74,176800
2016-02-22,1170971.738,1172939.758,1147355.501,1156211.59,174800
2016-02-23,1160147.63,1169987.729,1154243.571,1162115.65,147600
2016-02-24,1159163.619,1160147.629,1142435.452,1153259.56,140400
2016-02-25,1153259.561,1168019.709,1153259.561,1160147.63,133600
2016-02-26,1161131.639,1168019.708,1153259.56,1153259.56,177300
2016-02-29,1160147.63,1174907.778,1157195.6,1159163.62,288600
2016-03-02,1180811.83,1187699.899,1176875.79,1177859.8,236300
2016-03-03,1193603.961,1200492.03,1182779.853,1200492.03,218900
2016-03-04,1200492.029,1208364.108,1182779.852,1195571.98,201400
2016-03-07,1200492.03,1211316.139,1195571.981,1203444.06,131300
2016-03-08,1203444.066,1204428.076,1167035.701,1172939.76,216200
2016-03-09,1169003.721,1179827.829,1158179.612,1174907.78,183300
2016-03-10,1188683.912,1216236.188,1181795.843,1205412.08,283500
2016-03-11,1205412.083,1232964.359,1196555.994,1229028.32,267200
2016-03-14,1246740.498,1252644.558,1229028.321,1234932.38,217100
2016-03-15,1234932.38,1243788.469,1226076.291,1232964.36,172800
2016-03-16,1235916.39,1242804.459,1232964.36,1235916.39,146800
2016-03-17,1244772.48,1275276.786,1236900.401,1242804.46,246800
2016-03-18,1257564.599,1257564.599,1242804.451,1252644.55,225300
2016-03-21,1253628.569,1258548.618,1237884.411,1246740.5,181100
2016-03-22,1246740.49,1258548.609,1241820.441,1248708.51,202800
2016-03-23,1248708.511,1258548.61,1241820.442,1258548.61,197400
2016-03-24,1258548.61,1269372.719,1245756.482,1261500.64,218700
2016-03-25,1262484.651,1269372.72,1257564.601,1267404.7,143400
2016-03-28,1267404.701,1279212.819,1267404.701,1273308.76,121200
2016-03-29,1273308.759,1279212.819,1264452.671,1269372.72,172400
2016-03-30,1289052.92,1299877.028,1281180.841,1287084.9,267600
2016-03-31,1285116.881,1292988.96,1277244.802,1291020.94,382600
2016-04-01,1278228.807,1288068.906,1250676.531,1258548.61,271100
2016-04-04,1258548.614,1284132.87,1258548.614,1284132.87,188000
2016-04-05,1278228.815,1278228.815,1239852.43,1239852.43,236300
2016-04-06,1248708.512,1270356.729,1247724.502,1264452.67,184200
2016-04-07,1279212.816,1279212.816,1237884.402,1248708.51,258700
