datetime,ticks,open,high,low,close,volume,buy/sell,bid/ask
2016-08-01 20:39:10,79,2183.25,2183.25,2182.75,2182.75,1500,1.040816327,1.22557652
2016-08-01 20:44:18,110,2182.75,2183.25,2182.5,2182.75,1500,1.212389381,1.046376812
2016-08-01 20:50:04,142,2182.75,2183,2182.25,2182.25,1500,0.379944802,1.258203125
2016-08-01 20:57:19,142,2182.25,2182.75,2182,2182.5,1500,0.896333755,0.935666982
2016-08-01 21:03:26,68,2182.5,2182.5,2182,2182.25,1500,1.202643172,1.388038943
2016-08-01 21:06:11,94,2182.25,2182.75,2182.25,2182.5,1500,1.173913043,0.972565571
2016-08-01 21:09:06,100,2182.5,2182.75,2182.25,2182.75,1500,2.282275711,1.076125688
2016-08-01 21:15:35,106,2182.75,2183,2182.5,2182.5,1500,0.53531218,1.025395778
2016-08-01 21:20:51,108,2182.5,2183,2182.5,2182.5,1500,1.057613169,1.198342828
2016-08-01 21:26:59,136,2182.5,2182.75,2182,2182.25,1500,0.590668081,1.198342828
2016-08-01 21:30:01,78,2182.25,2182.5,2182,2182.5,1500,0.896333755,1.04913188
2016-08-01 21:31:19,88,2182.5,2182.75,2182.25,2182.75,1500,1.732240437,0.898912724
2016-08-01 21:33:46,48,2182.75,2182.75,2182.5,2182.75,1500,8.74025974,0.722942577
2016-08-01 21:34:43,58,2182.75,2183,2182.25,2182.25,1500,0.119402985,0.947273817
2016-08-01 21:35:54,61,2182.25,2182.5,2181.75,2181.75,1500,0.368613139,1.207288532
2016-08-01 21:36:33,90,2181.75,2181.75,2181.5,2181.5,1500,0.033769814,1.23478836
2016-08-01 21:37:31,94,2181.5,2181.75,2181,2181,1500,0.051156272,1.581913043
2016-08-01 21:38:17,71,2181,2181.25,2180.75,2181,1500,2.205128205,1.514736842
2016-08-01 21:38:53,82,2181,2181.75,2181,2181.5,1500,0.479289941,1.437913299
2016-08-01 21:40:21,65,2181.5,2181.75,2181.25,2181.5,1500,1.192982456,1.417978314
2016-08-01 21:41:48,34,2181.5,2181.5,2181,2181,1500,0.0814708,1.445915402
2016-08-01 21:42:25,44,2181,2181.25,2180.75,2181,1500,1.010723861,1.4991964
2016-08-01 21:43:02,57,2181,2181.25,2180.5,2180.5,1500,0.674107143,1.525212836
2016-08-01 21:43:59,111,2180.5,2181.25,2180.5,2181,1500,2.21888412,1.27528584
2016-08-01 21:45:21,89,2181,2181.25,2180.25,2180.25,1500,0.145912911,1.46922846
2016-08-01 21:47:18,81,2180.25,2181,2180.25,2180.75,1500,0.720183486,1.621734924
2016-08-01 21:48:24,41,2180.75,2181.25,2180.5,2180.75,1500,0.718213058,1.189522765
2016-08-01 21:49:26,68,2180.75,2180.75,2180.25,2180.5,1500,0.233552632,1.221529284
2016-08-01 21:51:10,57,2180.5,2181.25,2180.5,2181.25,1500,3.746835443,1.324105145
2016-08-01 21:52:53,36,2181.25,2181.5,2181,2181.25,1500,1.564102564,0.92038835
2016-08-01 21:53:20,71,2181.25,2181.5,2181,2181.25,1500,0.449275362,0.833640978
2016-08-01 21:55:04,56,2181.25,2181.5,2181.25,2181.25,1500,0.033057851,1.177179487
2016-08-01 21:58:03,54,2181.25,2181.5,2180.75,2180.75,1500,0.203852327,1.355313351
2016-08-01 21:59:28,42,2180.75,2181.75,2180.75,2181.5,1500,4.617977528,0.897473275
2016-08-01 22:00:09,37,2181.5,2181.75,2181.25,2181.75,1500,1.463054187,1.088390501
2016-08-01 22:00:42,95,2181.75,2182,2181.5,2181.5,1500,0.773049645,0.903712297
2016-08-01 22:03:57,25,2181.5,2181.75,2181.25,2181.75,1500,0.884422111,0.903712297
2016-08-01 22:04:31,72,2181.75,2181.75,2181.25,2181.5,1500,0.87032419,1.093765839
2016-08-01 22:06:48,83,2181.5,2181.75,2181.25,2181.5,1500,3.155124654,1.544074911
2016-08-01 22:10:38,89,2181.5,2182,2181.25,2181.5,1500,0.781472684,0.874937469
2016-08-01 22:14:09,114,2181.5,2181.75,2181,2181.5,1500,2.006012024,0.682458648
2016-08-01 22:18:25,87,2181.5,2181.75,2181.25,2181.5,1500,1.092050209,1.264095745
2016-08-01 22:20:54,73,2181.5,2181.75,2181.25,2181.5,1500,2.018108652,0.885610434
2016-08-01 22:23:12,106,2181.5,2182,2181.5,2181.75,1500,0.567398119,1.053238073
2016-08-01 22:26:30,44,2181.75,2182,2181.5,2181.5,1500,0.16913484,0.908604452
2016-08-01 22:27:44,78,2181.5,2182,2181.25,2181.5,1500,1.636203866,0.90351377
2016-08-01 22:29:46,111,2181.5,2182,2181.25,2181.5,1500,1.392344498,0.943986188
2016-08-01 22:30:02,76,2181.5,2181.5,2181,2181.25,1500,0.439539347,1.371465296
2016-08-01 22:30:09,34,2181.25,2181.25,2180.75,2181,1500,0.191421763,1.234007766
2016-08-01 22:30:11,61,2181,2181.25,2180.75,2181.25,1500,1.139800285,1.109129066
2016-08-01 22:30:16,80,2181.25,2181.5,2181,2181.5,1500,5.550218341,0.878782002
2016-08-01 22:30:35,106,2181.5,2181.75,2181.25,2181.75,1500,2.797468354,1.102192889
2016-08-01 22:31:00,59,2181.75,2182.25,2181.75,2182,1500,2.504672897,0.815079507
2016-08-01 22:31:10,85,2182,2182.25,2181.75,2182,1500,0.459143969,0.873506676
2016-08-01 22:31:28,24,2182,2182,2181.25,2181.5,1500,0.28314799,1.134524745
2016-08-01 22:31:33,86,2181.5,2181.75,2181.25,2181.5,1500,1.080443828,1.327447133
2016-08-01 22:31:58,41,2181.5,2181.75,2181.25,2181.25,1500,0.086956522,1.08044884
2016-08-01 22:32:10,37,2181.25,2181.5,2181,2181,1500,0.117734724,1.296158369
2016-08-01 22:32:20,35,2181,2181,2180.5,2180.75,1500,0.858736059,1.458505772
2016-08-01 22:32:26,52,2180.75,2181,2180.5,2180.5,1500,0.303214596,1.320999803
2016-08-01 22:32:35,22,2180.5,2180.5,2180.25,2180.5,1500,0.467710372,1.376046362
2016-08-01 22:32:37,64,2180.5,2180.75,2180.25,2180.25,1500,1.59965338,1.194749695
2016-08-01 22:32:47,64,2180.25,2180.25,2180,2180.25,1500,0.339285714,0.810366625
2016-08-01 22:32:54,57,2180.25,2180.25,2180,2180.25,1500,2.836317136,1.387784431
2016-08-01 22:33:01,44,2180.25,2180.25,2179.75,2179.75,1500,0.224489796,0.913510458
2016-08-01 22:33:08,45,2179.75,2180,2179.5,2179.5,1500,0.565762004,1.094354366
